"season","Date","Visitor","G","Home","G","Var.7","Att.","LOG","Notes","playoffs"
1951,"1950-10-22","New York Rangers","0","Boston Bruins","0","","","","",0
1951,"1950-10-22","Toronto Maple Leafs","5","Chicago Black Hawks","3","","","","",0
1951,"1950-10-22","Montreal Canadiens","2","Detroit Red Wings","3","","","","",0
1951,"1950-10-25","Boston Bruins","1","New York Rangers","1","","","","",0
1951,"1950-10-25","Detroit Red Wings","0","Toronto Maple Leafs","1","","","","",0
1951,"1950-10-26","Montreal Canadiens","1","Chicago Black Hawks","5","","","","",0
1951,"1950-10-28","Chicago Black Hawks","1","Detroit Red Wings","3","","","","",0
1951,"1950-10-28","New York Rangers","1","Montreal Canadiens","5","","","","",0
1951,"1950-10-28","Boston Bruins","2","Toronto Maple Leafs","4","","","","",0
1951,"1950-10-29","Toronto Maple Leafs","3","Chicago Black Hawks","3","","","","",0
1951,"1950-10-29","Boston Bruins","0","Detroit Red Wings","2","","","","",0
1951,"1950-10-29","Montreal Canadiens","2","New York Rangers","2","","","","",0
1951,"1950-11-01","Montreal Canadiens","3","Toronto Maple Leafs","5","","","","",0
1951,"1950-11-02","Boston Bruins","2","Chicago Black Hawks","5","","","","",0
1951,"1950-11-02","New York Rangers","2","Detroit Red Wings","2","","","","",0
1951,"1950-11-02","Toronto Maple Leafs","2","Montreal Canadiens","1","","","","",0
1951,"1950-11-04","Boston Bruins","3","Montreal Canadiens","2","","","","",0
1951,"1950-11-04","New York Rangers","2","Toronto Maple Leafs","2","","","","",0
1951,"1950-11-05","New York Rangers","1","Chicago Black Hawks","3","","","","",0
1951,"1950-11-05","Boston Bruins","2","Detroit Red Wings","4","","","","",0
1951,"1950-11-08","Detroit Red Wings","3","Boston Bruins","3","","","","",0
1951,"1950-11-08","Toronto Maple Leafs","5","New York Rangers","3","","","","",0
1951,"1950-11-09","Montreal Canadiens","1","Chicago Black Hawks","2","","","","",0
1951,"1950-11-11","Chicago Black Hawks","4","Boston Bruins","2","","","","",0
1951,"1950-11-11","New York Rangers","1","Montreal Canadiens","1","","","","",0
1951,"1950-11-11","Detroit Red Wings","3","Toronto Maple Leafs","1","","","","",0
1951,"1950-11-12","Toronto Maple Leafs","7","Boston Bruins","0","","","","",0
1951,"1950-11-12","Montreal Canadiens","0","Detroit Red Wings","4","","","","",0
1951,"1950-11-12","Chicago Black Hawks","4","New York Rangers","1","","","","",0
1951,"1950-11-15","Boston Bruins","4","New York Rangers","3","","","","",0
1951,"1950-11-16","Detroit Red Wings","5","Chicago Black Hawks","1","","","","",0
1951,"1950-11-16","Toronto Maple Leafs","2","Montreal Canadiens","5","","","","",0
1951,"1950-11-18","Detroit Red Wings","2","Boston Bruins","1","","","","",0
1951,"1950-11-18","Chicago Black Hawks","2","Montreal Canadiens","3","","","","",0
1951,"1950-11-18","New York Rangers","4","Toronto Maple Leafs","5","","","","",0
1951,"1950-11-19","Toronto Maple Leafs","1","Boston Bruins","3","","","","",0
1951,"1950-11-19","Montreal Canadiens","3","Chicago Black Hawks","0","","","","",0
1951,"1950-11-19","Detroit Red Wings","3","New York Rangers","3","","","","",0
